config_id,E,C,S,capped,n_replicates,max_years_between_conf_finals_mean,max_years_between_conf_finals_median,max_years_between_conf_finals_std,manipulation_gain_pct_mean,manipulation_gain_pct_median,manipulation_gain_pct_std,rank_one_to_five_spread_mean,rank_one_to_five_spread_median,rank_one_to_five_spread_std,per_series_cost_typical_mean,per_series_cost_typical_median,per_series_cost_typical_std
0,14,null,single-season,False,50,27.42,28.5,3.1239038893993007,28.571428571428577,28.571428571428573,3.588782762705772e-15,2.7253333333333334,2.7666666666666666,0.5612409315258062,,,
1,14,null,unbounded,False,50,27.24,27.5,2.99359861254999,28.571428571428577,28.571428571428573,3.588782762705772e-15,2.396,2.3666666666666667,0.4913141247318233,,,
2,14,null,bounded-30yr,False,50,27.12,27.0,2.623597779028342,28.571428571428577,28.571428571428573,3.588782762705772e-15,2.544,2.583333333333333,0.4186924902127386,,,
3,14,null,reset-on-championship,False,50,26.9,27.5,3.1184114218490104,28.571428571428577,28.571428571428573,3.588782762705772e-15,2.547333333333333,2.6166666666666667,0.5012044450038426,,,
4,14,100,single-season,True,50,27.24,28.0,3.0004081355028744,2.1428571428571423,2.142857142857143,4.485978453382215e-16,2.6493333333333333,2.6166666666666667,0.5393050033342127,20.0,20.0,0.0
5,14,100,unbounded,True,50,27.5,29.0,3.24037034920393,2.1428571428571423,2.142857142857143,4.485978453382215e-16,2.548,2.5666666666666664,0.4916149517365954,20.0,20.0,0.0
6,14,100,bounded-30yr,True,50,27.26,28.0,2.862922725225437,2.1428571428571423,2.142857142857143,4.485978453382215e-16,2.5740000000000003,2.65,0.46672934467326815,20.0,20.0,0.0
7,14,100,reset-on-championship,True,50,27.5,28.0,2.8012387930182254,2.1428571428571423,2.142857142857143,4.485978453382215e-16,2.5446666666666666,2.5333333333333337,0.4313460448767776,20.0,20.0,0.0
8,14,150,single-season,True,50,27.46,28.5,2.8443284060798346,2.1428571428571423,2.142857142857143,4.485978453382215e-16,2.5580000000000003,2.4833333333333334,0.5128644382025225,30.0,30.0,0.0
9,14,150,unbounded,True,50,27.38,28.0,2.7021533363340478,2.1428571428571423,2.142857142857143,4.485978453382215e-16,2.6306666666666665,2.5999999999999996,0.4691305220426595,30.0,30.0,0.0
10,14,150,bounded-30yr,True,50,27.88,29.5,2.6698620311368377,2.1428571428571423,2.142857142857143,4.485978453382215e-16,2.539333333333333,2.5500000000000003,0.4683976642577183,30.0,30.0,0.0
11,14,150,reset-on-championship,True,50,27.18,27.0,2.7081886408235514,2.1428571428571423,2.142857142857143,4.485978453382215e-16,2.481333333333333,2.4333333333333336,0.5666130426808532,30.0,30.0,0.0
12,14,200,single-season,True,50,27.32,28.0,2.6375622635072618,2.1428571428571423,2.142857142857143,4.485978453382215e-16,2.616,2.633333333333333,0.49998820847774,40.0,40.0,0.0
13,14,200,unbounded,True,50,27.56,28.0,2.340068026222088,2.1428571428571423,2.142857142857143,4.485978453382215e-16,2.651333333333333,2.6333333333333333,0.5456989111106064,40.0,40.0,0.0
14,14,200,bounded-30yr,True,50,27.6,28.0,2.4743582965269675,2.1428571428571423,2.142857142857143,4.485978453382215e-16,2.6133333333333333,2.5666666666666664,0.4672979209656036,40.0,40.0,0.0
15,14,200,reset-on-championship,True,50,27.34,28.5,3.0479836091476367,2.1428571428571423,2.142857142857143,4.485978453382215e-16,2.7026666666666666,2.6666666666666665,0.481251203726739,40.0,40.0,0.0
16,22,null,single-season,False,50,27.1,28.0,3.170334431596021,18.181818181818183,18.181818181818183,0.0,2.4266666666666667,2.4333333333333336,0.4988876515698589,,,
17,22,null,unbounded,False,50,27.52,29.0,2.894329431343788,18.181818181818183,18.181818181818183,0.0,2.664666666666667,2.666666666666667,0.42811668996519786,,,
18,22,null,bounded-30yr,False,50,28.2,29.0,2.030381486221699,18.181818181818183,18.181818181818183,0.0,2.562,2.6,0.5587486017879597,,,
19,22,null,reset-on-championship,False,50,26.44,26.0,3.3145320105528615,18.181818181818183,18.181818181818183,0.0,2.6553333333333335,2.65,0.40516002829262054,,,
20,22,100,single-season,True,50,27.26,27.5,2.7465005563666742,1.3636363636363635,1.3636363636363635,0.0,2.6046666666666662,2.6166666666666667,0.4523062594978676,20.0,20.0,0.0
21,22,100,unbounded,True,50,27.8,28.0,2.4825924567118234,1.3636363636363635,1.3636363636363635,0.0,2.572,2.583333333333333,0.4204716065111724,20.0,20.0,0.0
22,22,100,bounded-30yr,True,50,27.76,29.5,2.8252505758474826,1.3636363636363635,1.3636363636363635,0.0,2.543333333333333,2.533333333333333,0.46243219764087157,20.0,20.0,0.0
23,22,100,reset-on-championship,True,50,27.74,29.0,2.6326831195879357,1.3636363636363635,1.3636363636363635,0.0,2.5813333333333333,2.4666666666666663,0.4831003426236458,20.0,20.0,0.0
24,22,150,single-season,True,50,27.48,28.0,2.6591390351320983,1.3636363636363635,1.3636363636363635,0.0,2.804666666666667,2.8666666666666663,0.4548558865740009,30.0,30.0,0.0
25,22,150,unbounded,True,50,28.3,30.0,2.5734119335216885,1.3636363636363635,1.3636363636363635,0.0,2.734,2.7333333333333334,0.4473905191708816,30.0,30.0,0.0
26,22,150,bounded-30yr,True,50,27.54,28.0,2.565151067676132,1.3636363636363635,1.3636363636363635,0.0,2.8100000000000005,2.866666666666667,0.5045035277615108,30.0,30.0,0.0
27,22,150,reset-on-championship,True,50,27.08,28.0,3.0894157693516044,1.3636363636363635,1.3636363636363635,0.0,2.5780000000000003,2.533333333333333,0.5004129813738225,30.0,30.0,0.0
28,22,200,single-season,True,50,27.78,29.0,2.901723625709382,1.3636363636363635,1.3636363636363635,0.0,2.5926666666666667,2.6333333333333337,0.4557165248489549,40.0,40.0,0.0
29,22,200,unbounded,True,50,27.6,28.0,2.523360247522242,1.3636363636363635,1.3636363636363635,0.0,2.6733333333333333,2.6500000000000004,0.45260646008397903,40.0,40.0,0.0
30,22,200,bounded-30yr,True,50,27.84,29.5,2.6829773288156527,1.3636363636363635,1.3636363636363635,0.0,2.5439999999999996,2.6,0.4889917434579729,40.0,40.0,0.0
31,22,200,reset-on-championship,True,50,27.14,27.5,2.7554028558378145,1.3636363636363635,1.3636363636363635,0.0,2.6706666666666665,2.666666666666667,0.550886319453888,40.0,40.0,0.0
32,16-tiered,null,single-season,False,50,27.8,28.0,2.398979374820952,25.0,25.0,0.0,2.5146666666666664,2.566666666666667,0.5122605629498932,,,
33,16-tiered,null,unbounded,False,50,26.8,27.0,2.927700218845599,25.0,25.0,0.0,2.3906666666666667,2.4333333333333336,0.5251515276414295,,,
34,16-tiered,null,bounded-30yr,False,50,27.3,27.5,2.8302303937369935,25.0,25.0,0.0,2.596,2.6333333333333333,0.4210794895360453,,,
35,16-tiered,null,reset-on-championship,False,50,26.66,27.0,3.2110142081432715,25.0,25.0,0.0,2.3953333333333333,2.4000000000000004,0.5380745887314776,,,
36,16-tiered,100,single-season,True,50,27.82,29.0,2.520851815865229,1.875,1.875,0.0,2.6186666666666674,2.5999999999999996,0.5406035092329788,20.0,20.0,0.0
37,16-tiered,100,unbounded,True,50,27.68,28.5,2.675970165478422,1.875,1.875,0.0,2.664666666666667,2.666666666666667,0.4980419711115341,20.0,20.0,0.0
38,16-tiered,100,bounded-30yr,True,50,28.18,29.0,2.2559671440652767,1.875,1.875,0.0,2.694,2.65,0.47090832284647205,20.0,20.0,0.0
39,16-tiered,100,reset-on-championship,True,50,27.8,29.0,2.7255405754769875,1.875,1.875,0.0,2.647333333333333,2.65,0.424536027920208,20.0,20.0,0.0
40,16-tiered,150,single-season,True,50,27.58,29.0,2.5879627161936014,1.875,1.875,0.0,2.6659999999999995,2.6166666666666667,0.4917685239816984,30.0,30.0,0.0
