config_id,E,C,S,capped,n_replicates,max_years_between_conf_finals_mean,max_years_between_conf_finals_median,max_years_between_conf_finals_std,manipulation_gain_pct_mean,manipulation_gain_pct_median,manipulation_gain_pct_std,rank_one_to_five_spread_mean,rank_one_to_five_spread_median,rank_one_to_five_spread_std,per_series_cost_typical_mean,per_series_cost_typical_median,per_series_cost_typical_std
0,14,null,single-season,False,100,27.42,29.0,3.029084603531822,28.571428571428566,28.571428571428573,7.141223187966347e-15,2.6283333333333343,2.666666666666667,0.57937570410705,,,
1,14,null,unbounded,False,100,27.4,28.0,2.788866755113585,28.571428571428566,28.571428571428573,7.141223187966347e-15,2.4216666666666664,2.3666666666666663,0.43402883838254247,,,
11,14,150,reset-on-championship,True,100,27.49,28.5,2.851528032689162,2.1428571428571423,2.142857142857143,4.463264492478967e-16,2.6256666666666666,2.6499999999999995,0.5399184167494475,30.0,30.0,0.0
17,22,null,unbounded,False,100,27.4,29.0,2.9128763250176766,18.181818181818187,18.181818181818183,3.570611593983174e-15,2.652333333333334,2.666666666666667,0.4473454563883383,,,
19,22,null,reset-on-championship,False,100,26.68,27.0,3.10385879091485,18.181818181818187,18.181818181818183,3.570611593983174e-15,2.618333333333333,2.683333333333333,0.46790060529024363,,,
26,22,150,bounded-30yr,True,100,27.5,28.0,2.66855993397415,1.363636363636364,1.3636363636363635,4.463264492478967e-16,2.698,2.666666666666667,0.5541359640617695,30.0,30.0,0.0
31,22,200,reset-on-championship,True,100,27.03,27.0,2.691006345498864,1.363636363636364,1.3636363636363635,4.463264492478967e-16,2.6703333333333332,2.683333333333333,0.5032976552119661,40.0,40.0,0.0
32,16-tiered,null,single-season,False,100,27.46,28.0,2.7903875405152285,25.0,25.0,0.0,2.594333333333333,2.6166666666666663,0.5182647166249275,,,
45,16-tiered,200,unbounded,True,100,26.75,28.0,3.251650707445731,1.875,1.875,0.0,2.7089999999999996,2.6333333333333337,0.4873910710268734,40.0,40.0,0.0
